;;Female;;;Males;
Rank;;initial given name;number;;initial given name;number
302;;Bernadette;4.744;;Dion;4.502
303;;Nadine;4.702;;Jurgen;4.498
304;;Amanda;4.687;;Emiel;4.455
305;;Jeanette;4.621;;Bertus;4.453
306;;Karen;4.608;;Youri;4.448
307;;Lilian;4.605;;Frits;4.436
308;;Indy;4.588;;Tristan;4.422
309;;Carola;4.557;;Tijmen;4.406
310;;Karlijn;4.552;;Ernst;4.406
311;;Alberta;4.538;;Lukas;4.389
312;;Lina;4.528;;Jack;4.351
313;;Maureen;4.524;;Nathan;4.340
314;;Loïs;4.523;;Roan;4.318
315;;Nelly;4.514;;Lodewijk;4.317
316;;Aartje;4.501;;Stephanus;4.290
317;;Janke;4.454;;Arno;4.284
318;;Mathilda;4.440;;Mattheus;4.283
319;;Hanna;4.426;;Barend;4.226
320;;Aukje;4.422;;Ronnie;4.185
321;;Cecilia;4.375;;Barry;4.176
322;;Froukje;4.352;;Julius;4.176
323;;Hendrica;4.345;;Dani;4.132
324;;Larissa;4.339;;Rudi;4.121
325;;Puck;4.327;;Boris;4.118
326;;Hester;4.270;;Vince;4.109
327;;Saar;4.260;;Dean;4.102
328;;Emily;4.259;;Mohammad;4.091
329;;Senna;4.251;;Otto;4.084
330;;Marian;4.217;;Coen;4.074
331;;Ashley;4.205;;Philip;4.062
332;;Willempje;4.202;;Yannick;4.031
333;;Margje;4.170;;Davy;4.025
334;;Bernardina;4.167;;Auke;4.014
335;;Mieke;4.147;;Lorenzo;4.009
336;;Olivia;4.123;;Ronaldus;4.005
337;;Veronica;4.117;;Giovanni;3.983
338;;Kiki;4.058;;Harold;3.970
339;;Stefanie;4.052;;Thom;3.964
340;;Josepha;4.051;;Eddy;3.954
341;;Kyra;4.037;;Timothy;3.906
342;;Hillegonda;4.036;;Rudy;3.882
343;;Thi;4.023;;Jeremy;3.859
344;;Anthonia;4.016;;Ahmet;3.847
345;;Elly;3.988;;Matheus;3.827
346;;Samira;3.949;;Omar;3.818
347;;Hanneke;3.939;;Mika;3.804
348;;Mirthe;3.933;;Godefridus;3.801
349;;Jeltje;3.931;;Tjeerd;3.779
350;;Elin;3.909;;Jorn;3.772
351;;Hilde;3.907;;Boaz;3.770
352;;Liv;3.901;;Carolus;3.755
353;;Sietske;3.900;;James;3.753
354;;Noortje;3.860;;Freddy;3.751
355;;Eleonora;3.834;;Piet;3.724
356;;Marlies;3.829;;Huibert;3.654
357;;Tjitske;3.828;;Bert;3.650
358;;Yolanda;3.822;;Colin;3.644
359;;Nicolette;3.795;;Reinder;3.638
360;;Ivonne;3.789;;Marvin;3.632
361;;Elsje;3.764;;Kay;3.619
362;;Linde;3.750;;Roeland;3.617
363;;Margot;3.728;;Fredericus;3.616
364;;Grada;3.722;;Markus;3.601
365;;Sjoukje;3.716;;Noud;3.568
366;;Debby;3.702;;Wim;3.499
367;;Josina;3.697;;Jos;3.489
368;;Carlijn;3.693;;Mathias;3.404
369;;Maatje;3.692;;Lammert;3.404
370;;Danielle;3.691;;Hubert;3.389
371;;Ella;3.684;;Abel;3.370
372;;Angelina;3.677;;Ian;3.366
373;;Joke;3.675;;Jacques;3.366
374;;Imke;3.662;;Wiebe;3.364
375;;Wietske;3.656;;Sjors;3.360
376;;Jenneke;3.631;;Marcellinus;3.339
377;;Harmina;3.624;;Henderikus;3.325
378;;Fenne;3.605;;Onno;3.316
379;;Christel;3.601;;Joeri;3.314
380;;Ruth;3.595;;Ludovicus;3.290
381;;Jade;3.588;;Youssef;3.280
382;;Pien;3.570;;Augustinus;3.262
383;;Mireille;3.555;;Emile;3.229
384;;Gerardina;3.555;;Leroy;3.218
385;;Roelofje;3.539;;Felix;3.210
386;;Rosanne;3.522;;Wout;3.197
387;;Aafke;3.518;;Boudewijn;3.180
388;;Mathilde;3.517;;Jannes;3.175
389;;Erna;3.509;;Freek;3.173
390;;Klaasje;3.500;;Kai;3.167
391;;Jeanne;3.491;;Ben;3.147
392;;Katharina;3.463;;Jules;3.144
393;;Valerie;3.445;;Hermannus;3.142
394;;Erica;3.424;;Melle;3.136
395;;Tineke;3.413;;Tycho;3.128
396;;Pietertje;3.409;;Jelte;3.127
397;;Willemijn;3.383;;Kasper;3.105
398;;Hilda;3.377;;Owen;3.078
399;;Vivian;3.374;;Matthias;3.075
400;;Lizzy;3.367;;Jorrit;3.057
401;;Evy;3.362;;Arnoud;3.056
402;;Liesbeth;3.361;;Gert;3.050
403;;Silke;3.360;;Mitchel;3.039
404;;Carolien;3.356;;Johannis;3.023
405;;Vanessa;3.356;;Remko;3.011
406;;Baukje;3.323;;Mart;2.992
407;;Feline;3.322;;Jerry;2.989
408;;Mary;3.319;;Machiel;2.986
409;;Sam;3.318;;El;2.986
410;;Tara;3.318;;Jamie;2.984
411;;Nova;3.315;;Ferry;2.982
412;;Allegonda;3.314;;Carlo;2.977
413;;Marjolijn;3.293;;Merijn;2.974
414;;Elena;3.268;;Theodoor;2.974
415;;Debbie;3.267;;Rachid;2.959
