;;Female;;;Males;
Rank;;initial given name;number;;initial given name;number
1351;;Henriëtta;635;;;
1352;;Aysel;635;;;
1353;;Laurien;632;;;
1354;;Lenneke;632;;;
1355;;Aynur;631;;;
1356;;Marith;631;;;
1357;;Hieke;631;;;
1358;;Elianne;631;;;
1359;;Apollonia;630;;;
1360;;Laïla;630;;;
1361;;Egbertje;630;;;
1362;;Harmpje;629;;;
1363;;Annelie;629;;;
1364;;Juna;626;;;
1365;;Marie-José;626;;;
1366;;Inger;626;;;
1367;;Raquel;625;;;
1368;;Arzu;625;;;
1369;;Jacquelien;624;;;
1370;;Frida;623;;;
1371;;Marcelle;621;;;
1372;;Marlène;621;;;
1373;;Silvie;620;;;
1374;;Vivianne;620;;;
1375;;Rian;620;;;
1376;;Liliane;620;;;
1377;;Britney;620;;;
1378;;Whitney;618;;;
1379;;Florentine;618;;;
1380;;Aaltjen;617;;;
1381;;Ariane;616;;;
1382;;Steffie;616;;;
1383;;Houda;615;;;
1384;;Leontien;615;;;
1385;;Amalia;613;;;
1386;;Ietje;613;;;
1387;;Ariaantje;611;;;
1388;;Assia;611;;;
1389;;Isabeau;611;;;
1390;;Romaissa;611;;;
1391;;Jinthe;610;;;
1392;;Gerdien;609;;;
1393;;Petertje;608;;;
1394;;Sharmila;608;;;
1395;;Nicolasina;606;;;
1396;;Francien;606;;;
1397;;Birgitte;603;;;
1398;;Anneliese;603;;;
1399;;Svetlana;602;;;
1400;;Gabriela;602;;;
1401;;Mabel;602;;;
1402;;Juanita;602;;;
1403;;Riemke;601;;;
1404;;Tabitha;600;;;
1405;;Wendela;599;;;
1406;;Beatrice;599;;;
1407;;Guurtje;598;;;
1408;;Maudy;598;;;
1409;;Dieke;597;;;
1410;;Isra;594;;;
1411;;Diena;593;;;
1412;;Laetitia;593;;;
1413;;Solange;593;;;
1414;;Anne-Fleur;592;;;
1415;;Naziha;592;;;
1416;;Nabila;592;;;
1417;;?erife;591;;;
1418;;Krijntje;591;;;
1419;;Jacomijntje;590;;;
1420;;Ava;589;;;
1421;;Frances;589;;;
1422;;Rilana;588;;;
1423;;Elma;588;;;
1424;;Myrte;587;;;
1425;;Vivienne;587;;;
1426;;Bridget;587;;;
1427;;Charlene;584;;;
1428;;Marilyn;583;;;
1429;;Sonia;583;;;
1430;;Kathleen;582;;;
1431;;Lisan;582;;;
1432;;Kristina;581;;;
1433;;Trudy;581;;;
1434;;Adinda;580;;;
1435;;Leonore;580;;;
1436;;Isolde;579;;;
1437;;Lidewij;579;;;
1438;;Yenthe;579;;;
1439;;Loraine;579;;;
1440;;Aranka;579;;;
1441;;Jorinde;579;;;
1442;;Jasmina;578;;;
1443;;Desiré;577;;;
1444;;Michaela;577;;;
1445;;Ilana;577;;;
1446;;Sibilla;576;;;
1447;;Didi;574;;;
1448;;Cleo;574;;;
1449;;Kaatje;574;;;
1450;;Christiane;574;;;
1451;;Harriët;573;;;
1452;;Jacintha;572;;;
1453;;Yousra;572;;;
1454;;Faya;571;;;
1455;;Sasja;570;;;
1456;;Nuray;569;;;
1457;;Lenny;569;;;
1458;;Pieterdina;567;;;
1459;;Adelheid;565;;;
1460;;Aida;565;;;
1461;;Sema;565;;;
1462;;Jonna;564;;;
1463;;Mei;563;;;
1464;;Rosalinda;562;;;
1465;;Eileen;562;;;
1466;;Ingetje;562;;;
1467;;Marin;561;;;
1468;;Hind;561;;;
1469;;Irène;561;;;
1470;;Ceylin;560;;;
1471;;Songül;560;;;
1472;;Welmoed;560;;;
1473;;Marguerite;560;;;
1474;;Coco;559;;;
1475;;Doetje;559;;;
1476;;Margrieta;558;;;
1477;;Sifra;557;;;
1478;;Klaziena;557;;;
1479;;Ryanne;557;;;
1480;;Roxy;557;;;
1481;;Danisha;556;;;
1482;;Alinda;555;;;
1483;;Elza;554;;;
1484;;Bü?ra;554;;;
1485;;Annelot;553;;;
1486;;Kylie;553;;;
1487;;Pam;553;;;
1488;;Bertine;552;;;
1489;;Thessa;552;;;
1490;;Febe;552;;;
1491;;Theresa;552;;;
1492;;Amelie;552;;;
1493;;Dorothy;551;;;
1494;;Houria;551;;;
1495;;Jeannine;551;;;
1496;;Gerlinde;551;;;
1497;;Betsy;551;;;
1498;;Rhodé;551;;;
1499;;Bahar;551;;;
1500;;Alette;550;;;
1501;;Marley;547;;;
1502;;Sem;547;;;
1503;;Ronja;547;;;
1504;;Dunja;547;;;
1505;;Luka;546;;;
1506;;Safia;546;;;
1507;;Hannie;546;;;
1508;;Soumia;546;;;
1509;;Zeliha;546;;;
1510;;Manar;545;;;
1511;;Rochelle;544;;;
1512;;Hilal;543;;;
1513;;Annegien;543;;;
1514;;Hielkje;543;;;
1515;;Shanice;543;;;
1516;;Annita;543;;;
1517;;Ibtissam;541;;;
1518;;Irena;540;;;
1519;;Juliët;539;;;
1520;;Lizz;539;;;
1521;;Meral;538;;;
1522;;Vienna;538;;;
1523;;Karla;538;;;
1524;;Hiba;537;;;
1525;;Ariana;536;;;
1526;;Nieske;536;;;
1527;;Jaapje;534;;;
1528;;Bertina;534;;;
1529;;Lorraine;533;;;
1530;;Tanya;532;;;
1531;;Semra;532;;;
1532;;Doortje;531;;;
1533;;Matthea;531;;;
1534;;Sherida;530;;;
1535;;Hanny;530;;;
1536;;Arwen;528;;;
1537;;Jamilla;528;;;
1538;;Sjoerdtje;527;;;
1539;;Bouwina;525;;;
1540;;Hacer;525;;;
1541;;Anette;525;;;
1542;;Marcha;524;;;
1543;;Samia;524;;;
1544;;Pippa;524;;;
1545;;Jonne;523;;;
1546;;Hubertine;522;;;
1547;;Ann;522;;;
1548;;Marietje;522;;;
1549;;Serpil;521;;;
1550;;Nanette;521;;;
1551;;Hillechiena;521;;;
1552;;Carin;520;;;
1553;;Vanity;520;;;
1554;;Leni;520;;;
1555;;Shelley;519;;;
1556;;Dimphena;519;;;
1557;;Adrienne;519;;;
1558;;Femmy;519;;;
1559;;Foekje;519;;;
1560;;Yvon;518;;;
1561;;Ceyda;518;;;
1562;;Jelena;517;;;
1563;;Mariëlla;516;;;
1564;;Thecla;516;;;
1565;;Melike;516;;;
1566;;Wai;515;;;
1567;;Mendy;515;;;
1568;;Godelieve;515;;;
1569;;Hava;513;;;
1570;;Gamze;512;;;
1571;;Cristina;512;;;
1572;;Philine;511;;;
1573;;Belle;511;;;
1574;;Leny;511;;;
1575;;Tu?ba;511;;;
1576;;Melina;510;;;
1577;;Brigit;510;;;
1578;;Berta;509;;;
1579;;Chantalle;509;;;
1580;;Gülay;508;;;
1581;;Josefine;508;;;
1582;;Gerritjen;508;;;
1583;;Marte;508;;;
1584;;Lai;508;;;
1585;;Juliet;508;;;
1586;;Romkje;507;;;
1587;;Sevda;506;;;
1588;;Anouska;506;;;
1589;;Dunya;506;;;
1590;;Bobbi;505;;;
1591;;Lyanne;504;;;
1592;;Lida;504;;;
1593;;Havva;503;;;
1594;;Katie;503;;;
1595;;Angenita;503;;;
1596;;Aimee;503;;;
1597;;Christien;502;;;
1598;;Betje;501;;;
1599;;Wytske;501;;;
1600;;Sandrina;501;;;
1601;;Carine;501;;;
